Store;Year;Month;Total Sales
Adidas;2014;1;51.58345
Adidas;2014;2;41.60614
Adidas;2014;3;48.07164
Adidas;2014;4;44.19283
Adidas;2014;5;48.87166
Adidas;2014;6;38.89922
Adidas;2014;7;55.65094
Adidas;2014;8;49.00927
Adidas;2014;9;35.41795
Adidas;2014;10;41.02865
Adidas;2014;11;49.39472
Adidas;2014;12;61.64518
Adidas;2015;1;64.78465
Adidas;2015;2;55.82816
Adidas;2015;3;64.22981
Adidas;2015;4;47.95097
Adidas;2015;5;59.17596
Adidas;2015;6;56.37801
Adidas;2015;7;81.90516
Adidas;2015;8;73.02764
Adidas;2015;9;52.40756
Adidas;2015;10;70.12863
Adidas;2015;11;52.34564
Adidas;2015;12;64.32508
Adidas;2016;1;68.75156
Adidas;2016;2;59.99562
Adidas;2016;3;54.79125
Adidas;2016;4;47.40244
Adidas;2016;5;57.7054
Adidas;2016;6;64.62884
Adidas;2016;7;63.4411
Nike;2014;1;38.4181945
Nike;2014;2;34.22637675
Nike;2014;3;35.31564763
Nike;2014;4;33.18560113
Nike;2014;5;34.91591363
Nike;2014;6;34.24433713
Nike;2014;7;37.866825
Nike;2014;8;36.8868445
Nike;2014;9;34.99297938
Nike;2014;10;38.20806488
Nike;2014;11;40.44512625
Nike;2014;12;45.508917
Nike;2015;1;44.92407888
Nike;2015;2;42.38618138
Nike;2015;3;45.097097
Nike;2015;4;42.34785188
Nike;2015;5;42.04902563
Nike;2015;6;43.49777875
Nike;2015;7;48.83526863
Nike;2015;8;48.33525613
Nike;2015;9;46.90584025
Nike;2015;10;45.62799988
Nike;2015;11;48.15834475
Nike;2015;12;51.55809713
Nike;2016;1;53.84924538
Nike;2016;2;51.16615963
Nike;2016;3;46.8864625
Nike;2016;4;44.18741088
Nike;2016;5;42.26134563
Nike;2016;6;42.29126113
Nike;2016;7;50.46055
Marathon Sport;2014;1;21.0106675
Marathon Sport;2014;2;19.9032775
Marathon Sport;2014;3;28.9066775
Marathon Sport;2014;4;27.33059
Marathon Sport;2014;5;30.439425
Marathon Sport;2014;6;30.3114525
Marathon Sport;2014;7;29.0877225
Marathon Sport;2014;8;28.954145
Marathon Sport;2014;9;27.5987225
Marathon Sport;2014;10;29.0379825
Marathon Sport;2014;11;30.9964375
Marathon Sport;2014;12;32.6678475
Marathon Sport;2015;1;31.395605
Marathon Sport;2015;2;27.6022225
Marathon Sport;2015;3;28.7828725
Marathon Sport;2015;4;26.654695
Marathon Sport;2015;5;30.289095
Marathon Sport;2015;6;28.5431525
Marathon Sport;2015;7;32.491975
Marathon Sport;2015;8;30.075645
Marathon Sport;2015;9;27.9799075
Marathon Sport;2015;10;30.01265
Marathon Sport;2015;11;30.5435175
Marathon Sport;2015;12;35.5603325
Marathon Sport;2016;1;35.8789025
Marathon Sport;2016;2;32.35428
Marathon Sport;2016;3;33.3052875
Marathon Sport;2016;4;30.51387
Marathon Sport;2016;5;33.3399375
Marathon Sport;2016;6;31.5465375
Marathon Sport;2016;7;36.93503
Reebok;2014;1;34.61488
Reebok;2014;2;27.72751
Reebok;2014;3;32.9783
Reebok;2014;4;30.7647
Reebok;2014;5;33.7307
Reebok;2014;6;30.78087
Reebok;2014;7;35.265
Reebok;2014;8;35.05905
Reebok;2014;9;25.98947
Reebok;2014;10;25.99994
Reebok;2014;11;30.16299
Reebok;2014;12;32.75107
Reebok;2015;1;27.30265
Reebok;2015;2;28.03385
Reebok;2015;3;26.25384
Reebok;2015;4;25.83626
Reebok;2015;5;27.20866
Reebok;2015;6;24.57646
Reebok;2015;7;25.57663
Reebok;2015;8;28.6032
Reebok;2015;9;22.31899
Reebok;2015;10;20.91489
Reebok;2015;11;19.28776
Reebok;2015;12;25.91737
Reebok;2016;1;22.36212
Reebok;2016;2;19.0467
Reebok;2016;3;16.001
Reebok;2016;4;14.75847
Reebok;2016;5;17.00557
Reebok;2016;6;15.05375
Reebok;2016;7;13.77075
Puma;2014;1;14.89845
Puma;2014;2;14.22074
Puma;2014;3;14.93102
Puma;2014;4;13.39006
Puma;2014;5;14.0824
Puma;2014;6;11.02449
Puma;2014;7;12.92445
Puma;2014;8;15.79199
Puma;2014;9;9.47045
Puma;2014;10;13.19326
Puma;2014;11;7.96693
Puma;2014;12;17.91413
Puma;2015;1;10.80796
Puma;2015;2;9.29662
Puma;2015;3;7.41379
Puma;2015;4;13.02435
Puma;2015;5;20.10397
Puma;2015;6;14.18883
Puma;2015;7;14.05285
Puma;2015;8;9.01706
Puma;2015;9;12.9352
Puma;2015;10;14.26097
Puma;2015;11;10.29968
Puma;2015;12;14.50838
Puma;2016;1;11.71207
Puma;2016;2;19.20853
Puma;2016;3;12.25958
Puma;2016;4;21.02838
Puma;2016;5;19.50408
Puma;2016;6;12.73752
Puma;2016;7;20.04928
